Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.170969 | segment id: 36 | term: "Aloha Stadium" | text: "Our first testifier is HHFDC in support."
score: 0.170958 | segment id: 96 | term: "Red Hill" | text: "Any discussion or questions?"
score: 0.170755 | segment id: 25 | term: "Center on Nursing Advisory Board" | text: "If not, I'd like to welcome Vice Chair Hashimoglu and Senator Aquino to this meeting."
score: 0.170751 | segment id: 0 | term: "Board of Regents" | text: "Good afternoon."
score: 0.170751 | segment id: 12 | term: "Board of Regents" | text: "Good afternoon."
score: 0.170655 | segment id: 102 | term: "Education Commission of the States" | text: "Senator Aquino."
score: 0.170653 | segment id: 32 | term: "Scholarship" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.170435 | segment id: 107 | term: "Red Hill" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.170423 | segment id: 38 | term: "community college" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.170338 | segment id: 60 | term: "Aloha Stadium" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.170269 | segment id: 34 | term: "Post-Secondary Education Commission" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.170218 | segment id: 64 | term: "304a" | text: "Tax Foundation of Hawaii with comments."
score: 0.170194 | segment id: 58 | term: "College" | text: "Any further questions?"
score: 0.170169 | segment id: 30 | term: "Education Commission of the States" | text: "We reached out to three of them, and based on our discussions, we would request that $1.5 million be appropriated."
score: 0.170143 | segment id: 110 | term: "Mauna Kea" | text: "Members, any discussion?"
score: 0.170043 | segment id: 52 | term: "community college" | text: "Yes."
score: 0.170022 | segment id: 129 | term: "304a" | text: "There being no further business, this hearing is adjourned."
score: 0.169988 | segment id: 20 | term: "Athletic" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.169988 | segment id: 11 | term: "487n" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.169971 | segment id: 5 | term: "Research Corporation of the University of Hawaiʻi" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.169577 | segment id: 20 | term: "Center on Nursing Advisory Board" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.169560 | segment id: 121 | term: "Hawaiʻi Commission on National and Community Service" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.169512 | segment id: 88 | term: "487n" | text: "We'd also like to welcome Senator Kanuha."
score: 0.169505 | segment id: 60 | term: "Hawaiʻi Institute of Marine Biology" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.169335 | segment id: 31 | term: "Scholarship" | text: "That's the amount that we feel that they could use in one year."
score: 0.169323 | segment id: 10 | term: "Early Learning Board" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.169300 | segment id: 84 | term: "Hawaiʻi Medical Education Council" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.169224 | segment id: 92 | term: "Hawaiʻi Medical Education Council" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.169221 | segment id: 37 | term: "Research Corporation of the University of Hawaiʻi" | text: "We stand by testimony in support."
score: 0.169218 | segment id: 115 | term: "Hawaiʻi Medical Education Council" | text: "Any members voting with reservations?"
score: 0.169218 | segment id: 125 | term: "Hawaiʻi Medical Education Council" | text: "Any members voting with reservations?"
score: 0.169176 | segment id: 102 | term: "university" | text: "Senator Aquino."
score: 0.169088 | segment id: 18 | term: "Board of Regents" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.169088 | segment id: 52 | term: "Aloha Stadium" | text: "Yes."
score: 0.169063 | segment id: 18 | term: "Red Hill" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.168914 | segment id: 37 | term: "Education Commission of the States" | text: "We stand by testimony in support."
score: 0.168863 | segment id: 120 | term: "Education Commission of the States" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.168857 | segment id: 71 | term: "487n" | text: "Okay, the chair just has a question for DOTAX."
score: 0.168729 | segment id: 123 | term: "Early Learning Board" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.168653 | segment id: 9 | term: "Mauna Kea" | text: "Thank you."
score: 0.168653 | segment id: 57 | term: "Mauna Kea" | text: "Thank you."
score: 0.168653 | segment id: 63 | term: "Mauna Kea" | text: "Thank you."
score: 0.168653 | segment id: 66 | term: "Mauna Kea" | text: "Thank you."
score: 0.168653 | segment id: 72 | term: "Mauna Kea" | text: "Thank you."
score: 0.168653 | segment id: 106 | term: "Mauna Kea" | text: "Thank you."
score: 0.168653 | segment id: 118 | term: "Mauna Kea" | text: "Thank you."
score: 0.168629 | segment id: 2 | term: "State Departments" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.168609 | segment id: 107 | term: "Western Interstate Commission for Higher Education" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.168583 | segment id: 113 | term: "Hawaiʻi Institute of Marine Biology" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.168478 | segment id: 99 | term: "Scholarship" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.168176 | segment id: 88 | term: "John A. Burns School of Medicine" | text: "We'd also like to welcome Senator Kanuha."
score: 0.167989 | segment id: 88 | term: "State Departments" | text: "We'd also like to welcome Senator Kanuha."
score: 0.167937 | segment id: 62 | term: "Underground Storage Tanks" | text: "Our first testifier is Department of Taxation with comments."
score: 0.167840 | segment id: 19 | term: "Post-Secondary Education Commission" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.167752 | segment id: 30 | term: "Western Interstate Commission for Higher Education" | text: "We reached out to three of them, and based on our discussions, we would request that $1.5 million be appropriated."
score: 0.167705 | segment id: 104 | term: "Aloha Stadium" | text: "Senator Fevella is excused."
score: 0.167631 | segment id: 71 | term: "304a" | text: "Okay, the chair just has a question for DOTAX."
score: 0.167595 | segment id: 78 | term: "302a-431" | text: "That would be a policy question."
score: 0.167595 | segment id: 48 | term: "Underground Storage Tanks" | text: "I'm thinking that the state would provide construction loans, which would be paid back upon permanent conversion."
score: 0.167498 | segment id: 50 | term: "Red Hill" | text: "that buyer can pay back HHFDC's funds through their mortgage."
score: 0.167494 | segment id: 0 | term: "community college" | text: "Good afternoon."
score: 0.167494 | segment id: 12 | term: "community college" | text: "Good afternoon."
score: 0.167491 | segment id: 119 | term: "Aloha Stadium" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.167479 | segment id: 121 | term: "Post-Secondary Education Commission" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.167426 | segment id: 120 | term: "Research Corporation of the University of Hawaiʻi" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.167333 | segment id: 71 | term: "Underground Storage Tanks" | text: "Okay, the chair just has a question for DOTAX."
score: 0.167236 | segment id: 104 | term: "487n" | text: "Senator Fevella is excused."
score: 0.167230 | segment id: 35 | term: "Aloha Stadium" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.167185 | segment id: 15 | term: "Career and Technical Education" | text: "I would like to note that my stance is solely a reflection of my own beliefs and not of the organization or school I attend."
score: 0.166999 | segment id: 113 | term: "Aloha Stadium" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.166991 | segment id: 21 | term: "west oahu" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.166893 | segment id: 88 | term: "College" | text: "We'd also like to welcome Senator Kanuha."
score: 0.166872 | segment id: 48 | term: "302a-431" | text: "I'm thinking that the state would provide construction loans, which would be paid back upon permanent conversion."
score: 0.166752 | segment id: 26 | term: "Center on Nursing Advisory Board" | text: "Are there any questions?"
score: 0.166611 | segment id: 121 | term: "304a" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.166573 | segment id: 105 | term: "Red Hill" | text: "Chair recommendation is adopted."
score: 0.166541 | segment id: 54 | term: "Hawaiʻi Commission on National and Community Service" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.166440 | segment id: 61 | term: "Research Corporation of the University of Hawaiʻi" | text: "It increases the maximum annual deduction for contributions to and maximum account levels for individual housing accounts."
score: 0.166356 | segment id: 97 | term: "Hawaiʻi Commission on National and Community Service" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.166308 | segment id: 90 | term: "Early Learning Board" | text: "We'll go straight into decision-making."
score: 0.166296 | segment id: 127 | term: "State Departments" | text: "Without others voting aye, recommendation's adopted."
score: 0.166224 | segment id: 73 | term: "304a" | text: "Can you please identify yourself?"
score: 0.166198 | segment id: 73 | term: "302a-431" | text: "Can you please identify yourself?"
score: 0.166031 | segment id: 99 | term: "304a" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.165961 | segment id: 10 | term: "Red Hill" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.165678 | segment id: 61 | term: "Scholarship" | text: "It increases the maximum annual deduction for contributions to and maximum account levels for individual housing accounts."
score: 0.165676 | segment id: 62 | term: "Career and Technical Education" | text: "Our first testifier is Department of Taxation with comments."
score: 0.165615 | segment id: 91 | term: "west oahu" | text: "That's all right, members?"
score: 0.165611 | segment id: 3 | term: "College" | text: "meeting is being streamed live on youtube in the unlikely event that we have to abruptly end this hearing due to technical difficulties committee will reconvene to discuss any outstanding business on "
score: 0.165559 | segment id: 103 | term: "302a-431" | text: "Senator Kanuha?"
score: 0.165528 | segment id: 62 | term: "Western Interstate Commission for Higher Education" | text: "Our first testifier is Department of Taxation with comments."
score: 0.165480 | segment id: 58 | term: "Early Learning Board" | text: "Any further questions?"
score: 0.165410 | segment id: 110 | term: "Hawaiʻi Commission on National and Community Service" | text: "Members, any discussion?"
score: 0.165219 | segment id: 67 | term: "Western Interstate Commission for Higher Education" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.165203 | segment id: 34 | term: "State Departments" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.165164 | segment id: 99 | term: "Hawaiʻi Institute of Marine Biology" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.165138 | segment id: 120 | term: "College" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.165128 | segment id: 13 | term: "community college" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.165048 | segment id: 7 | term: "Scholarship" | text: "It requires a report to the legislature."
score: 0.164996 | segment id: 54 | term: "Western Interstate Commission for Higher Education" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.164959 | segment id: 119 | term: "304a" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.164879 | segment id: 91 | term: "Hawaiʻi Medical Education Council" | text: "That's all right, members?"
score: 0.164861 | segment id: 116 | term: "Hawaiʻi Commission on National and Community Service" | text: "Any members voting no?"
score: 0.164861 | segment id: 126 | term: "Hawaiʻi Commission on National and Community Service" | text: "Any members voting no?"
score: 0.164853 | segment id: 70 | term: "Hawaiʻi Medical Education Council" | text: "If not, members, any questions?"
score: 0.164802 | segment id: 8 | term: "College" | text: "Our first testifier is HHFDC in support."
score: 0.164802 | segment id: 36 | term: "College" | text: "Our first testifier is HHFDC in support."
score: 0.164787 | segment id: 27 | term: "Hawaiʻi Institute of Marine Biology" | text: "Okay, I just have a question for HHFDC."
score: 0.164781 | segment id: 101 | term: "State Departments" | text: "Vice chair votes aye."
score: 0.164670 | segment id: 123 | term: "Western Interstate Commission for Higher Education" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.164666 | segment id: 105 | term: "304a" | text: "Chair recommendation is adopted."
score: 0.164622 | segment id: 47 | term: "Scholarship" | text: "We'd have to work with organizations to see how they're going to structure their loan process."
score: 0.164571 | segment id: 104 | term: "College" | text: "Senator Fevella is excused."
score: 0.164549 | segment id: 8 | term: "Red Hill" | text: "Our first testifier is HHFDC in support."
score: 0.164549 | segment id: 36 | term: "Red Hill" | text: "Our first testifier is HHFDC in support."
score: 0.164516 | segment id: 55 | term: "Candidate Advisory Council" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.164507 | segment id: 98 | term: "College" | text: "Chair votes aye."
score: 0.164507 | segment id: 100 | term: "College" | text: "Chair votes aye."
score: 0.164507 | segment id: 112 | term: "College" | text: "Chair votes aye."
score: 0.164507 | segment id: 114 | term: "College" | text: "Chair votes aye."
score: 0.164507 | segment id: 122 | term: "College" | text: "Chair votes aye."
score: 0.164507 | segment id: 124 | term: "College" | text: "Chair votes aye."
score: 0.164473 | segment id: 8 | term: "Education Commission of the States" | text: "Our first testifier is HHFDC in support."
score: 0.164473 | segment id: 36 | term: "Education Commission of the States" | text: "Our first testifier is HHFDC in support."
score: 0.164422 | segment id: 40 | term: "Board of Regents" | text: "Okay, if not, members, are there any questions?"
score: 0.164310 | segment id: 41 | term: "302a-431" | text: "Okay, Chair has a question for HHFDC."
score: 0.164281 | segment id: 49 | term: "302a-431" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.164265 | segment id: 0 | term: "John A. Burns School of Medicine" | text: "Good afternoon."
score: 0.164265 | segment id: 12 | term: "John A. Burns School of Medicine" | text: "Good afternoon."
score: 0.164246 | segment id: 26 | term: "State Departments" | text: "Are there any questions?"
score: 0.164149 | segment id: 55 | term: "Western Interstate Commission for Higher Education" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.164119 | segment id: 102 | term: "John A. Burns School of Medicine" | text: "Senator Aquino."
score: 0.164109 | segment id: 102 | term: "Hawaiʻi Institute of Marine Biology" | text: "Senator Aquino."
score: 0.164005 | segment id: 65 | term: "Research Corporation of the University of Hawaiʻi" | text: "Not present on Zoom, Chair."
score: 0.163983 | segment id: 102 | term: "487n" | text: "Senator Aquino."
score: 0.163905 | segment id: 0 | term: "Research Corporation of the University of Hawaiʻi" | text: "Good afternoon."
score: 0.163905 | segment id: 12 | term: "Research Corporation of the University of Hawaiʻi" | text: "Good afternoon."
score: 0.163902 | segment id: 52 | term: "Board of Regents" | text: "Yes."
score: 0.163872 | segment id: 53 | term: "Red Hill" | text: "Okay."
score: 0.163872 | segment id: 76 | term: "Red Hill" | text: "Okay."
score: 0.163872 | segment id: 87 | term: "Red Hill" | text: "Okay."
score: 0.163823 | segment id: 6 | term: "Tuition" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.163568 | segment id: 85 | term: "west oahu" | text: "And currently there's less than 100 IHAs that has been reported in my notes and from our research."
score: 0.163567 | segment id: 34 | term: "Research Corporation of the University of Hawaiʻi" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.163486 | segment id: 82 | term: "Hawaiʻi Commission on National and Community Service" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.163432 | segment id: 54 | term: "487n" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.163225 | segment id: 9 | term: "Cancer Center" | text: "Thank you."
score: 0.163225 | segment id: 57 | term: "Cancer Center" | text: "Thank you."
score: 0.163225 | segment id: 63 | term: "Cancer Center" | text: "Thank you."
score: 0.163225 | segment id: 66 | term: "Cancer Center" | text: "Thank you."
score: 0.163225 | segment id: 72 | term: "Cancer Center" | text: "Thank you."
score: 0.163225 | segment id: 106 | term: "Cancer Center" | text: "Thank you."
score: 0.163225 | segment id: 118 | term: "Cancer Center" | text: "Thank you."
score: 0.163183 | segment id: 48 | term: "Scholarship" | text: "I'm thinking that the state would provide construction loans, which would be paid back upon permanent conversion."
score: 0.163102 | segment id: 8 | term: "Board of Regents" | text: "Our first testifier is HHFDC in support."
score: 0.163102 | segment id: 36 | term: "Board of Regents" | text: "Our first testifier is HHFDC in support."
score: 0.163008 | segment id: 84 | term: "west oahu" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.162901 | segment id: 96 | term: "302a-431" | text: "Any discussion or questions?"
score: 0.162733 | segment id: 103 | term: "university" | text: "Senator Kanuha?"
score: 0.162732 | segment id: 111 | term: "Western Interstate Commission for Higher Education" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.162662 | segment id: 96 | term: "College" | text: "Any discussion or questions?"
score: 0.162641 | segment id: 69 | term: "Red Hill" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.162528 | segment id: 19 | term: "Cancer Center" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.162447 | segment id: 32 | term: "Career and Technical Education" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.162409 | segment id: 61 | term: "Hawaiʻi Teacher Standards Board" | text: "It increases the maximum annual deduction for contributions to and maximum account levels for individual housing accounts."
score: 0.162379 | segment id: 22 | term: "Research Corporation of the University of Hawaiʻi" | text: "Thank you for the opportunity to testify."
score: 0.162298 | segment id: 129 | term: "Post-Secondary Education Commission" | text: "There being no further business, this hearing is adjourned."
score: 0.162297 | segment id: 27 | term: "302a-431" | text: "Okay, I just have a question for HHFDC."
score: 0.162265 | segment id: 64 | term: "Scholarship" | text: "Tax Foundation of Hawaii with comments."
score: 0.162136 | segment id: 32 | term: "Board of Regents" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.162108 | segment id: 129 | term: "Education Commission of the States" | text: "There being no further business, this hearing is adjourned."
score: 0.162108 | segment id: 88 | term: "Center on Nursing Advisory Board" | text: "We'd also like to welcome Senator Kanuha."
score: 0.161995 | segment id: 60 | term: "Education Commission of the States" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.161990 | segment id: 2 | term: "487n" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.161984 | segment id: 52 | term: "302a-431" | text: "Yes."
score: 0.161971 | segment id: 22 | term: "Board of Regents" | text: "Thank you for the opportunity to testify."
score: 0.161952 | segment id: 113 | term: "304a" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.161939 | segment id: 68 | term: "John A. Burns School of Medicine" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.161856 | segment id: 58 | term: "Red Hill" | text: "Any further questions?"
score: 0.161836 | segment id: 22 | term: "Cancer Center" | text: "Thank you for the opportunity to testify."
score: 0.161808 | segment id: 4 | term: "State Departments" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.161783 | segment id: 85 | term: "State Departments" | text: "And currently there's less than 100 IHAs that has been reported in my notes and from our research."
score: 0.161763 | segment id: 129 | term: "State Departments" | text: "There being no further business, this hearing is adjourned."
score: 0.161698 | segment id: 91 | term: "Hawaiʻi Teacher Standards Board" | text: "That's all right, members?"
score: 0.161695 | segment id: 119 | term: "Western Interstate Commission for Higher Education" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.161694 | segment id: 23 | term: "College" | text: "Thank you very much."
score: 0.161694 | segment id: 59 | term: "College" | text: "Thank you very much."
score: 0.161694 | segment id: 128 | term: "College" | text: "Thank you very much."
score: 0.161660 | segment id: 14 | term: "Athletic" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.161540 | segment id: 0 | term: "west oahu" | text: "Good afternoon."
score: 0.161540 | segment id: 12 | term: "west oahu" | text: "Good afternoon."
score: 0.161530 | segment id: 4 | term: "Hawaiʻi Teacher Standards Board" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.161511 | segment id: 13 | term: "Cancer Center" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.161434 | segment id: 117 | term: "State Departments" | text: "Without others voting aye, recommendation is adopted."
score: 0.161368 | segment id: 65 | term: "Hawaiʻi Medical Education Council" | text: "Not present on Zoom, Chair."
score: 0.161322 | segment id: 15 | term: "Western Interstate Commission for Higher Education" | text: "I would like to note that my stance is solely a reflection of my own beliefs and not of the organization or school I attend."
score: 0.161310 | segment id: 101 | term: "College" | text: "Vice chair votes aye."
score: 0.161181 | segment id: 89 | term: "Center on Nursing Advisory Board" | text: "Okay, that brings us to the end of our agenda."
score: 0.161077 | segment id: 2 | term: "Red Hill" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.161076 | segment id: 110 | term: "302a-431" | text: "Members, any discussion?"
score: 0.161054 | segment id: 97 | term: "Post-Secondary Education Commission" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.160894 | segment id: 110 | term: "Tuition" | text: "Members, any discussion?"
score: 0.160849 | segment id: 94 | term: "Scholarship" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.160745 | segment id: 90 | term: "Board of Regents" | text: "We'll go straight into decision-making."
score: 0.160629 | segment id: 93 | term: "Early Learning Board" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.160626 | segment id: 84 | term: "Tuition" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.160611 | segment id: 113 | term: "Scholarship" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.160588 | segment id: 102 | term: "Hawaiʻi Medical Education Council" | text: "Senator Aquino."
score: 0.160517 | segment id: 89 | term: "Candidate Advisory Council" | text: "Okay, that brings us to the end of our agenda."
score: 0.160436 | segment id: 91 | term: "Education Commission of the States" | text: "That's all right, members?"
score: 0.160369 | segment id: 5 | term: "Post-Secondary Education Commission" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.160344 | segment id: 68 | term: "Cancer Center" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.160291 | segment id: 115 | term: "Early Learning Board" | text: "Any members voting with reservations?"
score: 0.160291 | segment id: 125 | term: "Early Learning Board" | text: "Any members voting with reservations?"
score: 0.160279 | segment id: 55 | term: "Scholarship" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.160246 | segment id: 104 | term: "Hawaiʻi Commission on National and Community Service" | text: "Senator Fevella is excused."
score: 0.160146 | segment id: 107 | term: "Aloha Stadium" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.160133 | segment id: 82 | term: "Western Interstate Commission for Higher Education" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.160126 | segment id: 37 | term: "302a-431" | text: "We stand by testimony in support."
score: 0.159998 | segment id: 109 | term: "Hawaiʻi Medical Education Council" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.159983 | segment id: 27 | term: "Center on Nursing Advisory Board" | text: "Okay, I just have a question for HHFDC."
score: 0.159982 | segment id: 0 | term: "State Departments" | text: "Good afternoon."
score: 0.159982 | segment id: 12 | term: "State Departments" | text: "Good afternoon."
score: 0.159787 | segment id: 1 | term: "304a" | text: "It's 1.25 PM."
score: 0.159742 | segment id: 70 | term: "Early Learning Board" | text: "If not, members, any questions?"
score: 0.159572 | segment id: 24 | term: "487n" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.159571 | segment id: 73 | term: "487n" | text: "Can you please identify yourself?"
score: 0.159360 | segment id: 28 | term: "community college" | text: "How much funding should be appropriated to these housing counseling agencies?"
score: 0.159354 | segment id: 129 | term: "Hawaiʻi Teacher Standards Board" | text: "There being no further business, this hearing is adjourned."
score: 0.159261 | segment id: 81 | term: "Scholarship" | text: "So it should be more than $7,000 to have an impact."
score: 0.159223 | segment id: 123 | term: "Hawaiʻi Institute of Marine Biology" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.159170 | segment id: 74 | term: "Early Learning Board" | text: "Hi, my name is Eliza."
score: 0.158994 | segment id: 115 | term: "Research Corporation of the University of Hawaiʻi" | text: "Any members voting with reservations?"
score: 0.158994 | segment id: 125 | term: "Research Corporation of the University of Hawaiʻi" | text: "Any members voting with reservations?"
score: 0.158952 | segment id: 103 | term: "Candidate Advisory Council" | text: "Senator Kanuha?"
score: 0.158944 | segment id: 23 | term: "university" | text: "Thank you very much."
score: 0.158944 | segment id: 59 | term: "university" | text: "Thank you very much."
score: 0.158944 | segment id: 128 | term: "university" | text: "Thank you very much."
score: 0.158932 | segment id: 109 | term: "Center on Nursing Advisory Board" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.158892 | segment id: 11 | term: "Candidate Advisory Council" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.158888 | segment id: 86 | term: "Early Learning Board" | text: "Okay, further questions?"
score: 0.158839 | segment id: 103 | term: "College" | text: "Senator Kanuha?"
score: 0.158830 | segment id: 98 | term: "Education Commission of the States" | text: "Chair votes aye."
score: 0.158830 | segment id: 100 | term: "Education Commission of the States" | text: "Chair votes aye."
score: 0.158830 | segment id: 112 | term: "Education Commission of the States" | text: "Chair votes aye."
score: 0.158830 | segment id: 114 | term: "Education Commission of the States" | text: "Chair votes aye."
score: 0.158830 | segment id: 122 | term: "Education Commission of the States" | text: "Chair votes aye."
score: 0.158830 | segment id: 124 | term: "Education Commission of the States" | text: "Chair votes aye."
score: 0.158812 | segment id: 25 | term: "State Departments" | text: "If not, I'd like to welcome Vice Chair Hashimoglu and Senator Aquino to this meeting."
score: 0.158781 | segment id: 22 | term: "Post-Secondary Education Commission" | text: "Thank you for the opportunity to testify."
score: 0.158773 | segment id: 104 | term: "302a-431" | text: "Senator Fevella is excused."
score: 0.158722 | segment id: 15 | term: "Hawaiʻi Medical Education Council" | text: "I would like to note that my stance is solely a reflection of my own beliefs and not of the organization or school I attend."
score: 0.158699 | segment id: 30 | term: "Hawaiʻi Medical Education Council" | text: "We reached out to three of them, and based on our discussions, we would request that $1.5 million be appropriated."
score: 0.158578 | segment id: 54 | term: "Candidate Advisory Council" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.158447 | segment id: 60 | term: "Scholarship" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.158346 | segment id: 99 | term: "Western Interstate Commission for Higher Education" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
