Max similarity: 0.546386
Total matches: 15450

score: 0.546386 | segment id: 348 | term: "university" | text: "The university is a big organization."
score: 0.194659 | segment id: 435 | term: "State Departments" | text: "IT WOULDN'T GO FOR WOULD BE STUDENTS, BUT IT WOULD JUST BE CURRENT STUDENTS."
score: 0.194640 | segment id: 458 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 463 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 467 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 469 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 481 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 485 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 487 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 508 | term: "Red Hill" | text: "Aye."
score: 0.194640 | segment id: 510 | term: "Red Hill" | text: "Aye."
score: 0.194615 | segment id: 397 | term: "Western Interstate Commission for Higher Education" | text: "So as for the students for how we are concerned with funding, pretty much, this would be only used in the event of an emergency."
score: 0.194597 | segment id: 9 | term: "Cancer Center" | text: "This is relating to the University of Hawaii, appropriates funds to the University of Hawaii system for various nursing programs."
score: 0.194519 | segment id: 110 | term: "Hawaiʻi Teacher Standards Board" | text: "Question."
score: 0.194517 | segment id: 43 | term: "John A. Burns School of Medicine" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
score: 0.194403 | segment id: 8 | term: "487n" | text: "Starting off with the first one, House Bill 442, House Draft 1."
score: 0.194396 | segment id: 401 | term: "university" | text: "as long as it's paying for you know services that we benefit from the students don't really see an issue we have several other funds that work sort of similarly where they take the uh the the monies c"
score: 0.194395 | segment id: 97 | term: "Candidate Advisory Council" | text: "Also, it's really an economic opportunity bill."
score: 0.194369 | segment id: 54 | term: "Hawaiʻi Institute of Marine Biology" | text: "You have our university's testimony."
score: 0.194307 | segment id: 35 | term: "State Departments" | text: "Just standing in strong support with our written testimony already submitted."
score: 0.194185 | segment id: 431 | term: "Career and Technical Education" | text: "EVEN THOSE STUDENTS WHO ALREADY HAVE THE MAXIMUM AMOUNT OF AID ALLOWABLE BY THE UNIVERSITY, BECAUSE THAT IS..."
score: 0.194178 | segment id: 455 | term: "Hawaiʻi Medical Education Council" | text: "Vice Chair votes aye."
score: 0.194178 | segment id: 464 | term: "Hawaiʻi Medical Education Council" | text: "Vice Chair votes aye."
score: 0.194178 | segment id: 482 | term: "Hawaiʻi Medical Education Council" | text: "Vice Chair votes aye."
score: 0.194178 | segment id: 505 | term: "Hawaiʻi Medical Education Council" | text: "Vice Chair votes aye."
score: 0.194134 | segment id: 201 | term: "Hawaiʻi Teacher Standards Board" | text: "We stand on our written testimony."
score: 0.194103 | segment id: 171 | term: "Board of Regents" | text: "then why do we need the appropriation?"
score: 0.194099 | segment id: 436 | term: "Board of Regents" | text: "CORRECT."
score: 0.194092 | segment id: 212 | term: "community college" | text: "So part of what the request is for is to help us envision how we can do workforce development for the system far better than we can with our current capacity."
score: 0.194078 | segment id: 471 | term: "Hawaiʻi Commission on National and Community Service" | text: "Okay, Senate Bill 1169, House Draft 1."
score: 0.194047 | segment id: 142 | term: "College" | text: "Shucks."
score: 0.193998 | segment id: 217 | term: "Research Corporation of the University of Hawaiʻi" | text: "So that's why we requested"
score: 0.193962 | segment id: 40 | term: "302a-431" | text: "Anyone here wishing to testify on this measure?"
score: 0.193923 | segment id: 35 | term: "Scholarship" | text: "Just standing in strong support with our written testimony already submitted."
score: 0.193904 | segment id: 97 | term: "Career and Technical Education" | text: "Also, it's really an economic opportunity bill."
score: 0.193886 | segment id: 203 | term: "Research Corporation of the University of Hawaiʻi" | text: "It's my understanding that the intent of this bill would be to help us consolidate and better promote it to families who may not be as comfortable looking through the kinds of data that we have now."
score: 0.193879 | segment id: 100 | term: "Post-Secondary Education Commission" | text: "And in terms of the comments of CTAR, which I respect and I appreciate their support for the intent of the bill,"
score: 0.193820 | segment id: 471 | term: "Post-Secondary Education Commission" | text: "Okay, Senate Bill 1169, House Draft 1."
score: 0.193763 | segment id: 29 | term: "Cancer Center" | text: "Rachel Wilkinson, Laura Reinhart on support."
score: 0.193715 | segment id: 209 | term: "Research Corporation of the University of Hawaiʻi" | text: "no questions okay questions oh i'm sorry you just found the last one sorry um deborah you're the only one questions senator so why would funds be needed"
score: 0.193638 | segment id: 292 | term: "community college" | text: "You can do all of that now just by the departments you guys have."
score: 0.193630 | segment id: 468 | term: "Board of Regents" | text: "Senator Fabella?"
score: 0.193594 | segment id: 380 | term: "State Departments" | text: "So in this case, are you looking at this helps current students or helping potential students?"
score: 0.193519 | segment id: 410 | term: "College" | text: "Members, any questions?"
score: 0.193484 | segment id: 315 | term: "John A. Burns School of Medicine" | text: "Most of these are majors they've never heard of because high schools don't have them."
score: 0.193443 | segment id: 275 | term: "Athletic" | text: "So some of our performance metrics, for example,"
score: 0.193362 | segment id: 439 | term: "304a" | text: "MEMBERS, ANY OTHER QUESTIONS?"
score: 0.193296 | segment id: 227 | term: "Western Interstate Commission for Higher Education" | text: "DXP has a dashboard, and then there's a Career Explorer."
score: 0.193262 | segment id: 159 | term: "Athletic" | text: "You know..."
score: 0.193242 | segment id: 293 | term: "College" | text: "If they wanted to go in, oh, let me go look under engineering."
score: 0.193240 | segment id: 292 | term: "Education Commission of the States" | text: "You can do all of that now just by the departments you guys have."
score: 0.193214 | segment id: 506 | term: "487n" | text: "Senator Fukunaga excused."
score: 0.193197 | segment id: 447 | term: "Cancer Center" | text: "with the language in 673, which is the nursing one that already the university supported."
score: 0.193161 | segment id: 431 | term: "Hawaiʻi Teacher Standards Board" | text: "EVEN THOSE STUDENTS WHO ALREADY HAVE THE MAXIMUM AMOUNT OF AID ALLOWABLE BY THE UNIVERSITY, BECAUSE THAT IS..."
score: 0.193158 | segment id: 153 | term: "Western Interstate Commission for Higher Education" | text: "Okay, but why do we need to put together a legislative working group?"
score: 0.193075 | segment id: 29 | term: "Candidate Advisory Council" | text: "Rachel Wilkinson, Laura Reinhart on support."
score: 0.192977 | segment id: 511 | term: "304a" | text: "House Bill 1171, House Draft 2."
score: 0.192894 | segment id: 462 | term: "Hawaiʻi Teacher Standards Board" | text: "Okay, Senator Kim?"
score: 0.192886 | segment id: 466 | term: "487n" | text: "Senator Hashimoto?"
score: 0.192886 | segment id: 484 | term: "487n" | text: "Senator Hashimoto?"
score: 0.192886 | segment id: 507 | term: "487n" | text: "Senator Hashimoto?"
score: 0.192866 | segment id: 8 | term: "Hawaiʻi Medical Education Council" | text: "Starting off with the first one, House Bill 442, House Draft 1."
score: 0.192861 | segment id: 314 | term: "Scholarship" | text: "We have lots of different majors."
score: 0.192853 | segment id: 378 | term: "Board of Regents" | text: "but um yeah thank you for the opportunity by testimony i'm here if you have any questions thank you sit right there okay i have a question but is there anyone else wishing to testify in this measure w"
score: 0.192806 | segment id: 46 | term: "Cancer Center" | text: "And basically it repeals the Conference Center Revolving Fund."
score: 0.192804 | segment id: 480 | term: "487n" | text: "Chair?"
score: 0.192771 | segment id: 364 | term: "Hawaiʻi Commission on National and Community Service" | text: "We stand on our testimony in support and Associate Vice President Farah Gomes should be online to ask or answer technical questions related to this bill."
score: 0.192735 | segment id: 447 | term: "Education Commission of the States" | text: "with the language in 673, which is the nursing one that already the university supported."
score: 0.192732 | segment id: 83 | term: "Post-Secondary Education Commission" | text: "Thank you, Chair."
score: 0.192732 | segment id: 139 | term: "Post-Secondary Education Commission" | text: "Thank you, Chair."
score: 0.192732 | segment id: 193 | term: "Post-Secondary Education Commission" | text: "Thank you, Chair."
score: 0.192709 | segment id: 47 | term: "Candidate Advisory Council" | text: "This is for various conference center programs in Hilo."
score: 0.192693 | segment id: 77 | term: "Research Corporation of the University of Hawaiʻi" | text: "Hunter Hiavlin."
score: 0.192682 | segment id: 278 | term: "Tuition" | text: "the kinds of programs we would offer in terms of living wages for the state and other programs we may want to produce in the future based on living wages."
score: 0.192678 | segment id: 214 | term: "Center on Nursing Advisory Board" | text: "The other part of it is our institutional research office has a staff that does a lot of data analysis as well."
score: 0.192637 | segment id: 413 | term: "College" | text: "Of course, thank you."
score: 0.192631 | segment id: 26 | term: "Center on Nursing Advisory Board" | text: "Support."
score: 0.192628 | segment id: 514 | term: "487n" | text: "Thank you and we are done."
score: 0.192625 | segment id: 276 | term: "university" | text: "are based upon how many students we graduate within a four-year or six-year period so those were the metrics that we were using even 10 years ago that conversation is changing and in part it's changin"
score: 0.192558 | segment id: 50 | term: "Board of Regents" | text: "How many times have we gone on this bill?"
score: 0.192538 | segment id: 400 | term: "John A. Burns School of Medicine" | text: "well i'm not an accountant so i can't speak too widely on that although i do know a few accountant students i wish they'd be here right now but they're not what i can say at least from what i've heard"
score: 0.192452 | segment id: 235 | term: "Scholarship" | text: "So, for example, they're not on our agenda for today, but there's the request that we have access to tax data so that we have a better sense of what our students will go on to do."
score: 0.192441 | segment id: 113 | term: "Career and Technical Education" | text: "uh i think that's a question you'd have to develop with ctar i i don't know the answer to that thank you okay um since i have since we got you up here already asking the same question so why do we nee"
score: 0.192394 | segment id: 435 | term: "Hawaiʻi Medical Education Council" | text: "IT WOULDN'T GO FOR WOULD BE STUDENTS, BUT IT WOULD JUST BE CURRENT STUDENTS."
score: 0.192376 | segment id: 292 | term: "Candidate Advisory Council" | text: "You can do all of that now just by the departments you guys have."
score: 0.192303 | segment id: 212 | term: "Research Corporation of the University of Hawaiʻi" | text: "So part of what the request is for is to help us envision how we can do workforce development for the system far better than we can with our current capacity."
score: 0.192298 | segment id: 471 | term: "Hawaiʻi Medical Education Council" | text: "Okay, Senate Bill 1169, House Draft 1."
score: 0.192292 | segment id: 513 | term: "Post-Secondary Education Commission" | text: "Recommendation is to pass as is."
score: 0.192276 | segment id: 273 | term: "State Departments" | text: "But I mean, one of the things that has changed sort of nationally in the higher ed landscape is this focus on postgraduate outcomes."
score: 0.192228 | segment id: 379 | term: "Underground Storage Tanks" | text: "Lately, these tuition special fund that takes all the student tuition have come under fire for various using the funds for various other things other than related to possibly students directly."
score: 0.192200 | segment id: 483 | term: "John A. Burns School of Medicine" | text: "Senator Kucinaga, excused."
score: 0.192181 | segment id: 208 | term: "College" | text: "Are you here?"
score: 0.192165 | segment id: 403 | term: "university" | text: "So if we're not increasing tuition to compensate, the students don't really seem to have an issue."
score: 0.192139 | segment id: 292 | term: "Career and Technical Education" | text: "You can do all of that now just by the departments you guys have."
score: 0.192129 | segment id: 37 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 307 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 351 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 358 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 359 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 365 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 367 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 425 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 428 | term: "Athletic" | text: "Okay."
score: 0.192129 | segment id: 477 | term: "Athletic" | text: "Okay."
score: 0.192122 | segment id: 396 | term: "Tuition" | text: "So I don't know, is there any thoughts by the students as to how that fund should be used in any way?"
score: 0.192112 | segment id: 230 | term: "304a" | text: "data lives across different data systems."
score: 0.192077 | segment id: 429 | term: "Career and Technical Education" | text: "So in the case of this bill then, would it be, what kind of students would get this help?"
score: 0.192072 | segment id: 293 | term: "302a-431" | text: "If they wanted to go in, oh, let me go look under engineering."
score: 0.192070 | segment id: 347 | term: "Scholarship" | text: "So I have no additional positions in the office for the vice president of academic strategy to allocate to this."
score: 0.192044 | segment id: 38 | term: "Aloha Stadium" | text: "Thank you very much."
score: 0.192044 | segment id: 412 | term: "Aloha Stadium" | text: "Thank you very much."
score: 0.192001 | segment id: 234 | term: "Hawaiʻi Medical Education Council" | text: "Well, some of it, and as you know, there's other bills that are currently under review this session that would give us access to better statewide data because we don't currently have access to all of "
score: 0.191955 | segment id: 233 | term: "Education Commission of the States" | text: "I mean we keep asking every time you know we appropriate all this money to the university and we want to know the data, how many graduates go into their profession, how many graduates you know their m"
score: 0.191943 | segment id: 432 | term: "Hawaiʻi Teacher Standards Board" | text: "I WANTED TO KNOW IF IT'S NON-UNIVERSITY STUDENTS, WOULD THIS FUND HELP THEM?"
score: 0.191901 | segment id: 290 | term: "Center on Nursing Advisory Board" | text: "these are the things the jobs that you guys going to be going engineer whatever the department it is engineering nursing whatever these are the jobs that you can get as engineering or you can get as a"
score: 0.191864 | segment id: 348 | term: "Cancer Center" | text: "The university is a big organization."
score: 0.191820 | segment id: 377 | term: "Hawaiʻi Medical Education Council" | text: "We stand our testimony as written with the comment that, as students, we kind of see this as a really nice bill because it asks for no appropriations."
score: 0.191758 | segment id: 23 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 24 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 36 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 60 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 75 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 138 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 194 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 219 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 318 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 319 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 353 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 354 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 441 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 470 | term: "Red Hill" | text: "Thank you."
score: 0.191758 | segment id: 488 | term: "Red Hill" | text: "Thank you."
score: 0.191747 | segment id: 31 | term: "Red Hill" | text: "on Zoom."
score: 0.191734 | segment id: 76 | term: "Hawaiʻi Medical Education Council" | text: "Brian Miyamoto in support."
score: 0.191733 | segment id: 96 | term: "Underground Storage Tanks" | text: "And if we can develop things here that sequester plants, that sequester greenhouse gases, it can help move us toward our goal of eliminating carbon by 2050."
score: 0.191682 | segment id: 511 | term: "John A. Burns School of Medicine" | text: "House Bill 1171, House Draft 2."
score: 0.191638 | segment id: 361 | term: "Aloha Stadium" | text: "So, Deborah Halbert, you're testifying for the university."
score: 0.191633 | segment id: 211 | term: "Hawaiʻi Medical Education Council" | text: "But she has no capacity to help fulfill some of the larger postgraduate outcome work that this dashboard sets up."
score: 0.191613 | segment id: 409 | term: "Western Interstate Commission for Higher Education" | text: "Not that it's not needed, but I'm just throwing that out there to see what the sense is of the students out there."
score: 0.191508 | segment id: 100 | term: "Center on Nursing Advisory Board" | text: "And in terms of the comments of CTAR, which I respect and I appreciate their support for the intent of the bill,"
score: 0.191469 | segment id: 46 | term: "Hawaiʻi Medical Education Council" | text: "And basically it repeals the Conference Center Revolving Fund."
score: 0.191448 | segment id: 424 | term: "College" | text: "That came out of UH Foundation funding."
score: 0.191425 | segment id: 196 | term: "304a" | text: "Okay, we are moving on."
score: 0.191420 | segment id: 15 | term: "Red Hill" | text: "Just a quick question."
score: 0.191419 | segment id: 126 | term: "Career and Technical Education" | text: "And it could take a lot longer to develop these industries."
score: 0.191368 | segment id: 18 | term: "College" | text: "637, which is pretty much the same."
score: 0.191353 | segment id: 234 | term: "Research Corporation of the University of Hawaiʻi" | text: "Well, some of it, and as you know, there's other bills that are currently under review this session that would give us access to better statewide data because we don't currently have access to all of "
score: 0.191345 | segment id: 65 | term: "Red Hill" | text: "Grewal?"
score: 0.191235 | segment id: 343 | term: "304a" | text: "do that and because it's always nice to have these extra positions these extra data I don't know what people do with it, you know so."
score: 0.191211 | segment id: 432 | term: "John A. Burns School of Medicine" | text: "I WANTED TO KNOW IF IT'S NON-UNIVERSITY STUDENTS, WOULD THIS FUND HELP THEM?"
score: 0.191210 | segment id: 61 | term: "Board of Regents" | text: "okay thank you for that anyone else wishing to testify on this measure any questions members none we move forward house bill 1185 house draft 2 this is relating to agriculture establishes a plant-base"
score: 0.191205 | segment id: 406 | term: "Tuition" | text: "When the students hear about that, I'm pretty sure I'll have some more feedback."
score: 0.191178 | segment id: 13 | term: "Scholarship" | text: "And thank you for the opportunity to provide support."
score: 0.191171 | segment id: 363 | term: "Aloha Stadium" | text: "Thank you again for having us here."
score: 0.191152 | segment id: 420 | term: "Hawaiʻi Medical Education Council" | text: "Did that come out of those tuition funds?"
score: 0.191057 | segment id: 0 | term: "State Departments" | text: "Good afternoon and welcome to the Committee on Higher Education."
score: 0.191040 | segment id: 489 | term: "Red Hill" | text: "House Bill 1185, House Draft 2."
score: 0.191024 | segment id: 174 | term: "Career and Technical Education" | text: "The industries that will come to the table, if the University of Hawaii needs this and put it out, that they want all the industries to come in and share them on this idea what you just shared, a lot "
score: 0.191012 | segment id: 225 | term: "Center on Nursing Advisory Board" | text: "Both the Census Bureau does collect data, and that's one of the databases that we reference."
score: 0.190971 | segment id: 277 | term: "Scholarship" | text: "developments of dashboards that uh has already done but also why we're shifting to that conversation for these students before they even get there so instead of looking through a course catalog or tak"
score: 0.190965 | segment id: 315 | term: "Board of Regents" | text: "Most of these are majors they've never heard of because high schools don't have them."
score: 0.190955 | segment id: 386 | term: "Hawaiʻi Commission on National and Community Service" | text: "I would have wanted some way that I could have at least gotten some help, especially when, I won't speak to what happened during the Maui wildfires, but I understand there's a lot of stuff surrounding"
score: 0.190954 | segment id: 457 | term: "Education Commission of the States" | text: "Senator Hashimoto."
score: 0.190950 | segment id: 373 | term: "Center on Nursing Advisory Board" | text: "Thank you for the opportunity to provide testimony."
score: 0.190810 | segment id: 483 | term: "Research Corporation of the University of Hawaiʻi" | text: "Senator Kucinaga, excused."
score: 0.190758 | segment id: 497 | term: "Center on Nursing Advisory Board" | text: "moving on to house bill 1320 house draft one this is requiring the university of hawaii to collect and analyze and publicly report certain graduate outcome data members i'm kind of torn on this measur"
score: 0.190751 | segment id: 11 | term: "Mauna Kea" | text: "Good afternoon, Chair Kim, Vice Chair Kidani."
score: 0.190739 | segment id: 21 | term: "Candidate Advisory Council" | text: "And you supported that measure as well, right?"
score: 0.190695 | segment id: 305 | term: "State Departments" | text: "Because you ought to create this whole thing so when they go to college, they're going to be successful and when they can go graduate, whatever."
score: 0.190692 | segment id: 161 | term: "Post-Secondary Education Commission" | text: "I mean, so I guess a hard time understanding all these studies and working groups that we spend all this money on, and then I don't know what happens to them."
score: 0.190635 | segment id: 314 | term: "Board of Regents" | text: "We have lots of different majors."
score: 0.190607 | segment id: 47 | term: "Scholarship" | text: "This is for various conference center programs in Hilo."
score: 0.190602 | segment id: 439 | term: "Post-Secondary Education Commission" | text: "MEMBERS, ANY OTHER QUESTIONS?"
score: 0.190556 | segment id: 221 | term: "university" | text: "most likely in departments other than our institutional research office they probably do have folks that teach those skills okay so do we have students that probably have those skills potentially and "
score: 0.190528 | segment id: 174 | term: "Candidate Advisory Council" | text: "The industries that will come to the table, if the University of Hawaii needs this and put it out, that they want all the industries to come in and share them on this idea what you just shared, a lot "
score: 0.190510 | segment id: 100 | term: "Board of Regents" | text: "And in terms of the comments of CTAR, which I respect and I appreciate their support for the intent of the bill,"
score: 0.190421 | segment id: 94 | term: "304a" | text: "The reason these are important is that timber and steel"
score: 0.190370 | segment id: 281 | term: "Education Commission of the States" | text: "This provides them with another tool and it also provides us with another tool for thinking through the postgraduate outcomes that now are a measure of what higher ed is needing to be doing."
score: 0.190337 | segment id: 174 | term: "Mauna Kea" | text: "The industries that will come to the table, if the University of Hawaii needs this and put it out, that they want all the industries to come in and share them on this idea what you just shared, a lot "
score: 0.190331 | segment id: 498 | term: "Education Commission of the States" | text: "Go ahead and pass this out, defective date to July 31, 2050, put into the committee report."
score: 0.190307 | segment id: 112 | term: "Scholarship" | text: "What's the appropriations that you're requiring?"
score: 0.190304 | segment id: 306 | term: "Post-Secondary Education Commission" | text: "But there is other avenues."
score: 0.190291 | segment id: 134 | term: "Scholarship" | text: "Whatever my colleagues do, I support it."
score: 0.190275 | segment id: 54 | term: "west oahu" | text: "You have our university's testimony."
score: 0.190216 | segment id: 114 | term: "Candidate Advisory Council" | text: "yeah it's it's really about bringing different people together who can help move it forward it's not that we have to have a working group it's that a working group would really help move this industry"
score: 0.190185 | segment id: 273 | term: "Tuition" | text: "But I mean, one of the things that has changed sort of nationally in the higher ed landscape is this focus on postgraduate outcomes."
score: 0.190165 | segment id: 211 | term: "Early Learning Board" | text: "But she has no capacity to help fulfill some of the larger postgraduate outcome work that this dashboard sets up."
score: 0.190146 | segment id: 54 | term: "Athletic" | text: "You have our university's testimony."
score: 0.190117 | segment id: 117 | term: "Candidate Advisory Council" | text: "have a bill done to get the manufacturing moving forward."
score: 0.190078 | segment id: 480 | term: "Mauna Kea" | text: "Chair?"
score: 0.190059 | segment id: 209 | term: "302a-431" | text: "no questions okay questions oh i'm sorry you just found the last one sorry um deborah you're the only one questions senator so why would funds be needed"
score: 0.190058 | segment id: 76 | term: "304a" | text: "Brian Miyamoto in support."
score: 0.190057 | segment id: 405 | term: "Aloha Stadium" | text: "So anyway."
score: 0.189968 | segment id: 417 | term: "College" | text: "What if there's an emergency what students would then be helped like Okay, so in the in the case of the fires in Lahaina and I know that and i'm not sure if this came out of tuition fund, but I know t"
score: 0.189948 | segment id: 237 | term: "John A. Burns School of Medicine" | text: "So right now, it is not a complete picture on what our students go on to do in the postgraduate world."
score: 0.189939 | segment id: 483 | term: "College" | text: "Senator Kucinaga, excused."
score: 0.189862 | segment id: 342 | term: "Hawaiʻi Medical Education Council" | text: "You know, they should analyze and look at how we spending responsibly taxpayers monies and tuition monies and I just hope that the university would."
score: 0.189850 | segment id: 27 | term: "487n" | text: "Let's see."
score: 0.189811 | segment id: 27 | term: "Aloha Stadium" | text: "Let's see."
score: 0.189806 | segment id: 429 | term: "Candidate Advisory Council" | text: "So in the case of this bill then, would it be, what kind of students would get this help?"
score: 0.189794 | segment id: 514 | term: "Aloha Stadium" | text: "Thank you and we are done."
score: 0.189768 | segment id: 222 | term: "Tuition" | text: "you know, requiring you to collect, analyze, publicly report the graduate outcome data."
score: 0.189759 | segment id: 454 | term: "Hawaiʻi Medical Education Council" | text: "Chair votes aye."
score: 0.189759 | segment id: 504 | term: "Hawaiʻi Medical Education Council" | text: "Chair votes aye."
score: 0.189728 | segment id: 364 | term: "302a-431" | text: "We stand on our testimony in support and Associate Vice President Farah Gomes should be online to ask or answer technical questions related to this bill."
score: 0.189726 | segment id: 187 | term: "Candidate Advisory Council" | text: "uh even today i mean you are questioning the value of the working group i'm with you on it so what is the utility of that if there is already some evidence that business can work we will support it ab"
score: 0.189677 | segment id: 496 | term: "302a-431" | text: "Hearing none, matters deferred."
score: 0.189614 | segment id: 498 | term: "Hawaiʻi Commission on National and Community Service" | text: "Go ahead and pass this out, defective date to July 31, 2050, put into the committee report."
score: 0.189614 | segment id: 386 | term: "Aloha Stadium" | text: "I would have wanted some way that I could have at least gotten some help, especially when, I won't speak to what happened during the Maui wildfires, but I understand there's a lot of stuff surrounding"
score: 0.189584 | segment id: 506 | term: "Hawaiʻi Commission on National and Community Service" | text: "Senator Fukunaga excused."
score: 0.189527 | segment id: 26 | term: "487n" | text: "Support."
score: 0.189448 | segment id: 422 | term: "Hawaiʻi Medical Education Council" | text: "Did that come out of the tuition funds?"
score: 0.189435 | segment id: 406 | term: "College" | text: "When the students hear about that, I'm pretty sure I'll have some more feedback."
score: 0.189430 | segment id: 418 | term: "Candidate Advisory Council" | text: "committed to pay for four years of college for any Lahaina Luna."
score: 0.189420 | segment id: 439 | term: "302a-431" | text: "MEMBERS, ANY OTHER QUESTIONS?"
score: 0.189403 | segment id: 225 | term: "302a-431" | text: "Both the Census Bureau does collect data, and that's one of the databases that we reference."
score: 0.189400 | segment id: 300 | term: "Hawaiʻi Medical Education Council" | text: "Question, Senator."
score: 0.189365 | segment id: 496 | term: "304a" | text: "Hearing none, matters deferred."
score: 0.189348 | segment id: 449 | term: "Red Hill" | text: "Any discussion?"
score: 0.189301 | segment id: 195 | term: "302a-431" | text: "Any other questions?"
score: 0.189301 | segment id: 320 | term: "302a-431" | text: "Any other questions?"
score: 0.189301 | segment id: 352 | term: "302a-431" | text: "Any other questions?"
score: 0.189289 | segment id: 298 | term: "487n" | text: "Oh, 1,000 mechanics, you know, 150 nurses needed at Queens."
score: 0.189266 | segment id: 233 | term: "Scholarship" | text: "I mean we keep asking every time you know we appropriate all this money to the university and we want to know the data, how many graduates go into their profession, how many graduates you know their m"
score: 0.189262 | segment id: 43 | term: "State Departments" | text: "This relates to the University of Hawaii Conference Center Revolving Fund."
score: 0.189209 | segment id: 212 | term: "State Departments" | text: "So part of what the request is for is to help us envision how we can do workforce development for the system far better than we can with our current capacity."
score: 0.189201 | segment id: 495 | term: "Education Commission of the States" | text: "Any objections?"
score: 0.189182 | segment id: 198 | term: "Hawaiʻi Teacher Standards Board" | text: "And we have to justify Deborah Halpert."
score: 0.189141 | segment id: 426 | term: "Research Corporation of the University of Hawaiʻi" | text: "So it was sort of like a waiver of tuition for four years?"
score: 0.189138 | segment id: 430 | term: "Candidate Advisory Council" | text: "So under this bill, it would be open to any student."
score: 0.189131 | segment id: 238 | term: "Candidate Advisory Council" | text: "We are, of course, trying to develop a long-term strategy for how we can provide better data and a better way for the state to understand how that will look."
score: 0.189081 | segment id: 483 | term: "Mauna Kea" | text: "Senator Kucinaga, excused."
score: 0.189077 | segment id: 182 | term: "Hawaiʻi Institute of Marine Biology" | text: "There really is analysis out there that the industry with bamboo and other stuff that we grow here already or plan to grow, it works."
score: 0.189066 | segment id: 337 | term: "Candidate Advisory Council" | text: "it's all there you go to chat gpt you type this they give you everything you want to know and then some um so it's like i don't know if if this is the best use of the funding is whatever and i would h"
score: 0.188990 | segment id: 322 | term: "Research Corporation of the University of Hawaiʻi" | text: "You know, there's a lot of information out there."
score: 0.188975 | segment id: 444 | term: "Hawaiʻi Institute of Marine Biology" | text: "Calling back to order the Committee on Higher Education."
score: 0.188954 | segment id: 203 | term: "Education Commission of the States" | text: "It's my understanding that the intent of this bill would be to help us consolidate and better promote it to families who may not be as comfortable looking through the kinds of data that we have now."
score: 0.188884 | segment id: 244 | term: "Western Interstate Commission for Higher Education" | text: "Yes, I mean, and we have a graduate student right now that we're paying for with a foundation fund or money that we've raised through the Strata account on postgraduate outcomes in internships."
score: 0.188865 | segment id: 471 | term: "Aloha Stadium" | text: "Okay, Senate Bill 1169, House Draft 1."
score: 0.188844 | segment id: 76 | term: "Hawaiʻi Commission on National and Community Service" | text: "Brian Miyamoto in support."
score: 0.188840 | segment id: 113 | term: "Research Corporation of the University of Hawaiʻi" | text: "uh i think that's a question you'd have to develop with ctar i i don't know the answer to that thank you okay um since i have since we got you up here already asking the same question so why do we nee"
score: 0.188833 | segment id: 493 | term: "Education Commission of the States" | text: "And I hope that people will get together anyway and work this out and not necessarily have to have government to tell them that they got to put a group together to come up with this."
score: 0.188821 | segment id: 197 | term: "Center on Nursing Advisory Board" | text: "We are on House Bill 1320, House Draft 1, relating to education, requires the University of Hawaii system to collect, analyze, and publicly report certain graduate outcome data, requires and appropria"
score: 0.188811 | segment id: 82 | term: "487n" | text: "Ted Bowen."
score: 0.188761 | segment id: 109 | term: "Education Commission of the States" | text: "Thank you for the opportunity to testify."
score: 0.188760 | segment id: 494 | term: "Board of Regents" | text: "So any discussion on this, members?"
score: 0.188753 | segment id: 62 | term: "304a" | text: "Anybody from the Department of Agriculture?"
score: 0.188718 | segment id: 452 | term: "487n" | text: "Any discussion members?"
